Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SBIN,N6,09-10-20,10800,10800,10800,10800,10800,10800,10800,18,194400,5,18,100
SBIN,EQ,12-10-20,198.3,199.7,205.95,197.25,199,198.7,201.34,69125880,13917638045,331018,9531119,13.79
SBIN,N2,12-10-20,10707.77,10710,10735,10710,10719,10724.24,10720.3,255,2733677.05,35,245,96.08
SBIN,N5,12-10-20,10942.47,10950,10955,10935,10954,10951.69,10944.73,528,5778819.04,90,508,96.21
SBIN,N6,12-10-20,10800,11000,11375,10800,11240,11240,11199.58,12,134395,7,7,58.33
SBIN,EQ,13-10-20,198.7,198.65,200,195.1,195.5,195.7,197.22,34949604,6892864749,182813,3878144,11.1
SBIN,N2,13-10-20,10724.24,10711,10725,10697,10701,10703.73,10713.73,348,3728378.27,60,330,94.83
SBIN,N5,13-10-20,10951.69,10959.7,10970,10945,10951.05,10951.96,10954.54,526,5762089.92,77,464,88.21
SBIN,EQ,14-10-20,195.7,194.05,200.9,193.05,199.1,200.05,196.49,40550062,7967741512,198041,6204348,15.3
SBIN,N2,14-10-20,10703.73,10706,10724,10695,10710,10714.7,10708.6,756,8095700.14,76,714,94.44
SBIN,N5,14-10-20,10951.96,10950,10965,10950,10957.99,10957.08,10955,486,5324132.02,94,486,100
SBIN,N6,14-10-20,11240,10801,10801,10800,10800,10800.58,10800.59,17,183610,3,17,100
SBIN,EQ,15-10-20,200.05,201,202.5,192,192.8,192.85,197.72,49184944,9724679563,238796,8926933,18.15
SBIN,N2,15-10-20,10714.7,10715,10724.9,10704.01,10704.01,10707.68,10716.66,407,4361679.61,45,400,98.28
SBIN,N5,15-10-20,10957.08,10950.1,10968,10938,10938,10940.93,10944.96,288,3152149.02,63,288,100
SBIN,N6,15-10-20,10800.58,10726,10726,10725,10725,10725,10725.5,6,64353,2,6,100
SBIN,EQ,16-10-20,192.85,194,196.75,191.6,195.7,195.95,194.69,36894938,7182953743,191841,3907003,10.59
SBIN,N5,16-10-20,10940.93,10930,10930,10850,10866,10863.24,10890.75,1552,16902436.9,332,1425,91.82
SBIN,EQ,19-10-20,195.95,196.2,204.6,196.05,204,204,201.65,60223657,12143970660,323960,18100990,30.06
SBIN,N5,19-10-20,10863.24,10871,10888,10850,10880,10875.59,10867.7,1438,15627752.05,204,1264,87.9
SBIN,EQ,20-10-20,204,201,204.35,200.7,202.95,203.05,202.74,39317197,7970974967,175146,5620943,14.3
SBIN,N5,20-10-20,10875.59,10886.85,10918,10870,10898,10900.26,10897.18,871,9491441.23,138,816,93.69
SBIN,EQ,21-10-20,203.05,204.7,207.3,198.85,204,203.75,204.08,54516482,11125916903,248104,10918958,20.03
SBIN,N5,21-10-20,10900.26,10915,10919,10876,10880,10887.16,10890.61,934,10171828.84,184,896,95.93
SBIN,EQ,22-10-20,203.75,201.9,204.6,201.1,203.6,203.3,203.1,33721761,6849008786,156779,4734176,14.04
SBIN,N5,22-10-20,10887.16,10875,10899.9,10851,10875,10875,10876.17,602,6547457.15,123,562,93.36
SBIN,EQ,23-10-20,203.3,204,205.6,201.55,202.45,202.8,203.2,32708098,6646185986,143175,5408726,16.54
SBIN,N5,23-10-20,10875,10871,10880,10855,10862,10861.31,10866.9,665,7226487.36,126,637,95.79
SBIN,EQ,26-10-20,202.8,202.7,204,195.6,197,196.7,199.33,45471498,9063790089,213023,9472379,20.83
SBIN,N5,26-10-20,10861.31,10862,10885,10840,10843,10844.93,10860.68,1495,16236713.84,198,1150,76.92
SBIN,N6,26-10-20,10725,10750,10750,10750,10750,10750,10750,5,53750,1,5,100
SBIN,EQ,27-10-20,196.7,197.25,197.55,192.25,194.45,194.65,194.96,37802664,7370107441,177545,7079292,18.73
SBIN,N5,27-10-20,10844.93,10840,10849,10825,10830,10834.71,10836.41,602,6523518.31,115,595,98.84
SBIN,N6,27-10-20,10750,10730,10850,10730,10850,10850,10797.96,4,43191.85,4,3,75
SBIN,EQ,28-10-20,194.65,195,195,189.05,190.5,190.45,191.54,46462213,8899258779,259437,13448807,28.95
SBIN,N5,28-10-20,10834.71,10820.1,10820.1,10800,10802,10805.37,10809.63,1032,11155538.38,202,973,94.28
SBIN,EQ,29-10-20,190.45,189.35,190.7,185.9,189.3,188.7,188.17,44823105,8434161791,238791,9344991,20.85
SBIN,N5,29-10-20,10805.37,10800,10810,10751,10777.82,10763.77,10780.69,953,10274001.8,170,899,94.33
SBIN,N6,29-10-20,10850,10701,10701,10650,10650,10650,10675.5,10,106755,3,10,100
SBIN,EQ,30-10-20,188.7,189.35,192,186.15,189.9,189.25,189.11,41520135,7851736168,186311,5649029,13.61
SBIN,N5,30-10-20,10763.77,10763.77,10789.95,10763.77,10785,10783.73,10775.84,439,4730593.22,78,434,98.86
SBIN,N6,30-10-20,10650,10650,10730,10614.1,10730,10730,10658.2,41,436986,8,32,78.05
SBIN,EQ,02-11-20,189.25,192.2,197.25,190.05,196,196.05,194.16,52600119,10212607734,254510,13993534,26.6
SBIN,N5,02-11-20,10783.73,10785,10825,10772.01,10814.95,10821.67,10797.08,606,6543029.06,93,546,90.1
SBIN,EQ,03-11-20,196.05,198,205.8,197.6,204.35,204.75,202.38,69890201,14144561717,338507,20827276,29.8
SBIN,N5,03-11-20,10821.67,10850,10850,10821,10847.99,10846.61,10839.33,622,6742063.95,62,578,92.93
SBIN,EQ,04-11-20,204.75,203.5,209,198.05,205.5,207,204.28,117577856,24018836837,486009,22915206,19.49
SBIN,N5,04-11-20,10846.61,10852,10879,10775,10775,10813.49,10844.1,956,10366957.22,125,875,91.53
SBIN,N6,04-11-20,10730,10799,10849,10750,10750,10750,10780.84,29,312644.25,8,28,96.55
SBIN,EQ,05-11-20,207,216,221,214.75,218.5,218.65,218.33,138023646,30134264561,568119,42166870,30.55
SBIN,N5,05-11-20,10813.49,10850,10872.95,10850,10850,10852.26,10854.2,836,9074111.8,75,818,97.85
SBIN,N6,05-11-20,10750,11000,12850,10875,10900,10900,11613.42,90,1045207.8,32,54,60
SBIN,EQ,06-11-20,218.65,219,221.85,217.05,218.1,219.2,219.15,73147085,16030127116,292489,17965797,24.56
SBIN,N5,06-11-20,10852.26,10850,10874,10845,10854.95,10854.25,10855.2,500,5427599.72,99,475,95
SBIN,N6,06-11-20,10900,10710,10751,10555,10750,10750,10622.18,131,1391506.1,51,117,89.31
SBIN,EQ,09-11-20,219.2,222.5,222.65,217.05,219.6,219.5,219.29,60359458,13236456721,250337,15432813,25.57
SBIN,N5,09-11-20,10854.25,10850,10875,10830.01,10857,10858.9,10861.09,874,9492590.91,126,852,97.48
SBIN,N6,09-11-20,10750,10775,10775,10750,10750,10750,10762.5,4,43050,2,4,100
SBIN,EQ,10-11-20,219.5,223.1,235,223,232,231.7,229.3,135294550,31022815639,595627,43102126,31.86
SBIN,N5,10-11-20,10858.9,10861,10869,10850,10860,10857.93,10862.29,709,7701365.5,91,687,96.9
SBIN,N6,10-11-20,10750,10750,10750,10750,10750,10750,10750,8,86000,3,8,100
SBIN,EQ,11-11-20,231.7,232.75,239.35,227.75,234.5,234.2,234.23,107094861,25084920764,449281,25884184,24.17
SBIN,N5,11-11-20,10857.93,10865,10865,10751,10850,10850.7,10847.22,282,3058914.8,45,227,80.5
SBIN,EQ,12-11-20,234.2,233.2,233.35,225.65,227.05,226.8,229.08,58859905,13483904990,308734,13767236,23.39
SBIN,N5,12-11-20,10850.7,10850,10850,10820,10839,10827.37,10841.93,571,6190740.9,93,571,100
SBIN,N6,12-11-20,10750,10750,10750,10750,10750,10750,10750,1,10750,1,1,100
SBIN,EQ,13-11-20,226.8,225,230.65,220.1,230.6,229.45,225.16,70676525,15913507649,301034,12034960,17.03
SBIN,N5,13-11-20,10827.37,10835,10855.75,10835,10848.95,10846.52,10850.31,523,5674710.75,113,514,98.28
SBIN,N6,13-11-20,10750,11400,11400,10751,10810,10810,11051.54,13,143670,6,10,76.92
SBIN,EQ,14-11-20,229.45,232,232.9,227.75,228.05,229.65,230.98,7753219,1790815411,73521,2345791,30.26
SBIN,N5,14-11-20,10846.52,10849.75,10860,10842,10859,10851.96,10851.32,222,2408993.09,42,198,89.19
SBIN,EQ,17-11-20,229.65,231.85,241.6,231,241.35,240.2,237.24,80501583,19098108753,338168,33754763,41.93
SBIN,N5,17-11-20,10851.96,10830,10856,10830,10856,10855.17,10852.2,875,9495678.66,117,870,99.43
SBIN,N6,17-11-20,10810,10799,10799,10749,10749,10749,10774,2,21548,2,2,100
SBIN,EQ,18-11-20,240.2,239.4,253,237.9,252.6,252,246.44,104514060,25755962168,481980,26494834,25.35
SBIN,N5,18-11-20,10855.17,10855,10855,10845.05,10845.05,10847.75,10851.61,794,8616180.81,113,772,97.23
SBIN,N6,18-11-20,10749,10750,10750,10750,10750,10750,10750,4,43000,1,4,100
SBIN,EQ,19-11-20,252,248,251.8,239,239.5,239.75,245.83,82284278,20227602703,402167,14617497,17.76
SBIN,N5,19-11-20,10847.75,10854,10854,10841,10851,10849.09,10849.12,777,8429764.8,84,771,99.23
SBIN,EQ,20-11-20,239.75,241.5,245.4,233.95,242,242.75,239.89,84411129,20249412552,371175,7680402,9.1
SBIN,N5,20-11-20,10849.09,10860,10860,10835,10853,10852.24,10849.24,743,8060984.09,97,697,93.81
SBIN,EQ,23-11-20,242.75,243.5,246.15,238.1,238.6,238.7,240.76,57538324,13852948130,258879,7663237,13.32
SBIN,N5,23-11-20,10852.24,10855,10855,10832.3,10838,10840.04,10845.1,812,8806220.78,140,791,97.41
SBIN,N6,23-11-20,10750,10760,10760,10755,10755,10755,10757.5,2,21515,2,2,100
SBIN,EQ,24-11-20,238.7,240.5,245,239.5,244.4,243.85,241.91,47636611,11523891299,238186,10573973,22.2
SBIN,N5,24-11-20,10840.04,10845,10859,10840.6,10859,10857.46,10850.36,893,9689368.09,82,829,92.83
SBIN,N6,24-11-20,10755,10800,10800,10800,10800,10800,10800,45,486000,1,45,100
SBIN,EQ,25-11-20,243.85,245.45,249.9,241.6,243,243,246.09,74767232,18399328360,306740,10185429,13.62
SBIN,N5,25-11-20,10857.46,10851,10862,10851,10860,10857.95,10857.62,449,4875073,67,444,98.89
SBIN,N6,25-11-20,10800,10801,10801,10801,10801,10801,10801,45,486045,1,45,100
SBIN,EQ,26-11-20,243,244,246.25,240.15,245.75,245.45,243.28,64248318,15630054754,241631,14919885,23.22
SBIN,N5,26-11-20,10857.95,10861,10878.55,10854,10870,10868.29,10860.12,477,5180279.61,64,476,99.79
SBIN,EQ,27-11-20,245.45,245.45,246.25,242.05,244.2,244.25,243.85,54355703,13254883891,222385,15981860,29.4
SBIN,N5,27-11-20,10868.29,10874,10885,10853.25,10869,10858.21,10863.76,693,7528585.8,121,687,99.13
SBIN,N6,27-11-20,10801,10909.99,10909.99,10800,10800,10800,10855,4,43419.98,2,2,50
SBIN,EQ,01-12-20,244.25,245,248.95,244.25,247.65,248.05,246.58,37003272,9124277406,186048,9607134,25.96
SBIN,N5,01-12-20,10858.21,10870,10885,10860,10884.99,10877.88,10873.6,811,8818489.85,107,786,96.92
SBIN,EQ,02-12-20,248.05,248.35,250.85,244.1,246.55,246.95,247.75,56723083,14052937534,221604,13306764,23.46
SBIN,N5,02-12-20,10877.88,10890,10900,10861.3,10900,10899.92,10886.93,573,6238208.91,79,536,93.54
SBIN,N6,02-12-20,10800,10815,10815,10780,10780,10780,10781.84,106,1142875,3,106,100
SBIN,EQ,03-12-20,246.95,249.3,259,248,256.4,256.3,255.15,79266442,20224723033,361390,17214792,21.72
SBIN,N5,03-12-20,10899.92,10910,10910,10866,10910,10904.89,10901.64,861,9386308.81,119,860,99.88
SBIN,N6,03-12-20,10780,10920,10920,10875,10875,10875,10884,5,54420,2,5,100
SBIN,EQ,04-12-20,256.3,257,264.35,253.55,264.05,263.5,259.18,79252024,20540875200,332166,16466782,20.78
SBIN,N5,04-12-20,10904.89,10910,10948,10900,10948,10945.91,10926.87,613,6698170.19,128,570,92.99
SBIN,N6,04-12-20,10875,10890,10890,10870,10870,10870,10885,4,43540,2,4,100
SBIN,EQ,07-12-20,263.5,263.8,271.45,263,269.5,269.6,267.33,76053084,20331616535,298030,27751256,36.49
SBIN,N5,07-12-20,10945.91,10950,10974.99,10930,10957,10956.59,10951.73,816,8936614.41,111,698,85.54
SBIN,N6,07-12-20,10870,10869,10869,10801,10801,10801,10835,10,108350,2,5,50
SBIN,EQ,08-12-20,269.6,270.95,273.7,265.25,270.75,271.9,269.92,65617502,17711550023,288470,17627985,26.86
SBIN,N5,08-12-20,10956.59,10970,10994,10950,10964.4,10975.55,10966.61,648,7106363.46,82,596,91.98
SBIN,N6,08-12-20,10801,10821.05,10840,10821,10840,10840,10827.54,28,303171.05,12,28,100
SBIN,EQ,09-12-20,271.9,272.1,274.9,269.2,270.25,270.35,271.89,48495641,13185424470,224768,12794767,26.38
SBIN,N5,09-12-20,10975.55,10980,11000,10978.8,10987,10991.5,10991.47,963,10584784.99,166,815,84.63
SBIN,N6,09-12-20,10840,10900,10989.75,10851,10875,10875,10887.13,13,141532.75,8,8,61.54
SBIN,EQ,10-12-20,270.35,269,271,265.55,270,269.55,267.91,38676657,10362014087,191259,7139680,18.46
SBIN,N5,10-12-20,10991.5,10990.8,10999,10980,10985,10985,10987.46,397,4362021.95,54,375,94.46
SBIN,N6,10-12-20,10875,10851.2,10851.2,10851,10851,10851,10851.1,10,108511,2,10,100
SBIN,EQ,11-12-20,269.55,270.05,276.25,270.05,272.5,272.45,273.03,50255223,13720952520,219426,16618912,33.07
SBIN,N5,11-12-20,10985,10994,10995,10970,10980,10980,10978.37,275,3019051.01,68,247,89.82
SBIN,N6,11-12-20,10851,10890,10925,10890,10900,10900,10900.35,215,2343575,6,215,100
SBIN,EQ,14-12-20,272.45,274,276.15,272.35,274.25,274.2,274.69,31946501,8775317447,200577,8886488,27.82
SBIN,N5,14-12-20,10980,10983,10991.95,10965,10974.95,10970.8,10981.77,692,7599386.91,104,632,91.33
SBIN,N6,14-12-20,10900,10881,10900,10881,10900,10900,10890.5,20,217810,2,20,100
